;Scopy version,f4beeb1
;Exported on,Freitag August 30/08/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
153,-0.00307,-1.63635,-0.0760607
154,-0.00306,-1.63635,-0.059357
155,-0.00305,-1.66976,-0.059357
156,-0.00304,-1.68646,-0.059357
157,-0.00303,-1.70316,-0.059357
158,-0.00302,-1.70316,-0.059357
159,-0.00301,-1.71987,-0.059357
160,-0.003,-1.73657,-0.059357
161,-0.00299,-1.75327,-0.059357
162,-0.00298,-1.76998,-0.0760607
163,-0.00297,-1.80339,-0.0760607
164,-0.00296,-1.82009,-0.0760607
165,-0.00295,-1.8535,-0.0760607
166,-0.00294,-1.8702,-0.0760607
167,-0.00293,-1.8702,-0.0760607
168,-0.00292,-1.8869,-0.0760607
169,-0.00291,-1.8869,-0.0760607
170,-0.0029,-1.92031,-0.059357
171,-0.00289,-1.92031,-0.059357
172,-0.00288,-1.93702,-0.059357
173,-0.00287,-1.95372,-0.059357
174,-0.00286,-1.95372,-0.059357
175,-0.00285,-1.98713,-0.059357
176,-0.00284,-2.00383,-0.059357
177,-0.00283,-2.00383,-0.059357
178,-0.00282,-2.03724,-0.059357
179,-0.00281,-2.07065,-0.059357
180,-0.0028,-2.08735,-0.0760607
181,-0.00279,-2.10405,-0.0760607
182,-0.00278,-2.12076,-0.0760607
183,-0.00277,-2.13746,-0.059357
184,-0.00276,-2.13746,-0.059357
185,-0.00275,-2.13746,-0.059357
186,-0.00274,-2.17087,-0.059357
187,-0.00273,-2.18757,-0.059357
188,-0.00272,-2.20428,-0.059357
189,-0.00271,-2.22098,-0.059357
190,-0.0027,-2.23768,-0.0760607
191,-0.00269,-2.25439,-0.0760607
192,-0.00268,-2.25439,-0.059357
193,-0.00267,-2.27109,-0.059357
194,-0.00266,-2.3045,-0.059357
195,-0.00265,-2.3212,-0.059357
196,-0.00264,-2.3379,-0.059357
197,-0.00263,-2.35461,-0.059357
198,-0.00262,-2.37131,-0.0927645
199,-0.00261,-2.37131,-0.059357
200,-0.0026,-2.40472,-0.059357
201,-0.00259,-2.42142,-0.059357
202,-0.00258,-2.42142,-0.059357
203,-0.00257,-2.45483,-0.059357
204,-0.00256,-2.45483,-0.059357
205,-0.00255,-2.47153,-0.0760607
206,-0.00254,-2.48824,-0.0760607
207,-0.00253,-2.52165,-0.0760607
208,-0.00252,-2.53835,-0.0426533
209,-0.00251,-2.55505,-0.0760607
210,-0.0025,-2.57176,-0.0760607
211,-0.00249,-2.57176,-0.0760607
212,-0.00248,-2.62187,-0.0760607
213,-0.00247,-2.60516,-0.059357
214,-0.00246,-2.63857,-0.059357
215,-0.00245,-2.65528,-0.059357
216,-0.00244,-2.65528,-0.059357
217,-0.00243,-2.67198,-0.059357
218,-0.00242,-2.68868,-0.059357
219,-0.00241,-2.70539,-0.059357
220,-0.0024,-2.70539,-0.059357
221,-0.00239,-2.7722,-0.059357
222,-0.00238,-2.7555,-0.059357
223,-0.00237,-2.78891,-0.059357
224,-0.00236,-2.80561,-0.059357
225,-0.00235,-2.82231,-0.059357
226,-0.00234,-2.83902,-0.0760607
227,-0.00233,-2.85572,-0.059357
228,-0.00232,-2.85572,-0.059357
229,-0.00231,-2.87242,-0.059357
230,-0.0023,-2.88913,-0.059357
231,-0.00229,-2.90583,-0.059357
232,-0.00228,-2.92254,-0.059357
233,-0.00227,-2.93924,-0.059357
234,-0.00226,-2.93924,-0.0760607
235,-0.00225,-3.00605,-0.0760607
236,-0.00224,-2.98935,-0.0760607
237,-0.00223,-3.02276,-0.059357
238,-0.00222,-3.03946,-0.0760607
239,-0.00221,-3.05616,-0.0760607
240,-0.0022,-3.07287,-0.0760607
241,-0.00219,-3.08957,-0.059357
242,-0.00218,-3.10628,-0.059357
243,-0.00217,-3.10628,-0.059357
244,-0.00216,-3.12298,-0.059357
245,-0.00215,-3.13968,-0.059357
246,-0.00214,-3.13968,-0.059357
247,-0.00213,-3.17309,-0.059357
248,-0.00212,-3.2065,-0.059357
249,-0.00211,-3.2232,-0.059357
250,-0.0021,-3.23991,-0.0760607
251,-0.00209,-3.25661,-0.0760607
252,-0.00208,-3.27331,-0.0760607
253,-0.00207,-3.29002,-0.059357
254,-0.00206,-3.30672,-0.0760607
255,-0.00205,-3.32342,-0.059357
256,-0.00204,-3.32342,-0.059357
257,-0.00203,-3.34013,-0.059357
258,-0.00202,-3.35683,-0.059357
259,-0.00201,-3.37354,-0.059357
260,-0.002,-3.39024,-0.059357
261,-0.00199,-3.42365,-0.059357
262,-0.00198,-3.44035,-0.0760607
263,-0.00197,-3.45705,-0.059357
264,-0.00196,-3.47376,-0.059357
265,-0.00195,-3.49046,-0.0760607
266,-0.00194,-3.50717,-0.059357
267,-0.00193,-3.52387,-0.059357
268,-0.00192,-3.54057,-0.059357
269,-0.00191,-3.55728,-0.0760607
270,-0.0019,-3.57398,-0.059357
271,-0.00189,-3.57398,-0.059357
272,-0.00188,-3.59068,-0.0760607
273,-0.00187,-3.60739,-0.0760607
274,-0.00186,-3.62409,-0.0760607
275,-0.00185,-3.6575,-0.0760607
276,-0.00184,-3.6742,-0.0760607
277,-0.00183,-3.70761,-0.059357
278,-0.00182,-3.70761,-0.059357
279,-0.00181,-3.72431,-0.059357
280,-0.0018,-3.74102,-0.059357
281,-0.00179,-3.75772,-0.059357
282,-0.00178,-3.75772,-0.059357
283,-0.00177,-3.77443,-0.059357
284,-0.00176,-3.79113,-0.059357
285,-0.00175,-3.80783,-0.059357
286,-0.00174,-3.82454,-0.059357
287,-0.00173,-3.84124,-0.059357
288,-0.00172,-3.87465,-0.059357
289,-0.00171,-3.89135,-0.0760607
290,-0.0017,-3.90805,-0.0760607
291,-0.00169,-3.92476,-0.059357
292,-0.00168,-3.94146,-0.0760607
293,-0.00167,-3.97487,-0.0760607
294,-0.00166,-3.97487,-0.0760607
295,-0.00165,-3.99157,-0.0760607
296,-0.00164,-4.00828,-0.0760607
297,-0.00163,-4.02498,-0.0760607
298,-0.00162,-4.02498,-0.059357
299,-0.00161,-4.04168,-0.059357
300,-0.0016,-4.05839,-0.059357
301,-0.00159,-4.1085,-0.059357
302,-0.00158,-4.1085,-0.059357
303,-0.00157,-4.1252,-0.059357
304,-0.00156,-4.14191,-0.059357
305,-0.00155,-4.15861,-0.059357
306,-0.00154,-4.17531,-0.059357
307,-0.00153,-4.19202,-0.059357
308,-0.00152,-4.17531,-0.059357
309,-0.00151,-4.17531,-0.059357
310,-0.0015,-4.15861,-0.0760607
311,-0.00149,-4.14191,-0.0760607
312,-0.00148,-4.1252,-0.0760607
313,-0.00147,-4.1085,-0.0760607
314,-0.00146,-4.07509,-0.059357
315,-0.00145,-4.05839,-0.059357
316,-0.00144,-4.04168,-0.059357
317,-0.00143,-4.02498,-0.059357
318,-0.00142,-4.02498,-0.0760607
319,-0.00141,-3.97487,-0.059357
320,-0.0014,-3.97487,-0.059357
321,-0.00139,-3.97487,-0.059357
322,-0.00138,-3.94146,-0.059357
323,-0.00137,-3.92476,-0.059357
324,-0.00136,-3.90805,-0.059357
325,-0.00135,-3.90805,-0.0760607
326,-0.00134,-3.89135,-0.0760607
327,-0.00133,-3.87465,-0.059357
328,-0.00132,-3.84124,-0.059357
329,-0.00131,-3.82454,-0.059357
330,-0.0013,-3.82454,-0.059357
331,-0.00129,-3.79113,-0.059357
332,-0.00128,-3.77443,-0.0760607
333,-0.00127,-3.75772,-0.0760607
334,-0.00126,-3.74102,-0.059357
335,-0.00125,-3.72431,-0.059357
336,-0.00124,-3.70761,-0.059357
337,-0.00123,-3.69091,-0.059357
338,-0.00122,-3.6742,-0.059357
339,-0.00121,-3.6575,-0.059357
340,-0.0012,-3.6575,-0.059357
341,-0.00119,-3.60739,-0.059357
342,-0.00118,-3.60739,-0.059357
343,-0.00117,-3.60739,-0.059357
