;Scopy version,f4beeb1
;Exported on,Freitag August 30/08/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.00447,0.537779,0.141088
1,-0.00446,0.534605,0.141088
2,-0.00445,0.529843,0.141088
3,-0.00444,0.526669,0.10768
4,-0.00443,0.525082,0.0909765
5,-0.00442,0.520321,0.0909765
6,-0.00441,0.51556,0.0742728
7,-0.0044,0.512386,0.0742728
8,-0.00439,0.507625,0.0742728
9,-0.00438,0.502864,0.0408653
10,-0.00437,0.498103,0.0408653
11,-0.00436,0.493341,0.0241616
12,-0.00435,0.485406,0.0241616
13,-0.00434,0.479058,0.00745786
14,-0.00433,0.47271,0.00745786
15,-0.00432,0.466362,-0.00924586
16,-0.00431,0.455252,-0.00924586
17,-0.0043,0.44573,-0.0259496
18,-0.00429,0.436208,-0.0259496
19,-0.00428,0.423511,-0.0259496
20,-0.00427,0.412402,-0.0259496
21,-0.00426,0.399706,-0.0259496
22,-0.00425,0.383835,-0.0426533
23,-0.00424,0.369552,-0.0426533
24,-0.00423,0.356855,-0.0760607
25,-0.00422,0.340985,-0.0426533
26,-0.00421,0.325114,-0.0426533
27,-0.0042,0.309244,-0.0426533
28,-0.00419,0.291786,-0.0426533
29,-0.00418,0.277503,-0.0426533
30,-0.00417,0.258459,-0.0426533
31,-0.00416,0.245762,-0.0426533
32,-0.00415,0.228305,-0.0426533
33,-0.00414,0.212434,-0.0426533
34,-0.00413,0.196564,-0.0426533
35,-0.00412,0.179106,-0.0426533
36,-0.00411,0.161649,-0.0426533
37,-0.0041,0.147365,-0.0426533
38,-0.00409,0.129908,-0.0426533
39,-0.00408,0.115624,-0.0426533
40,-0.00407,0.0965798,-0.0426533
41,-0.00406,0.0838834,-0.0426533
42,-0.00405,0.0632518,-0.0426533
43,-0.00404,0.0473814,-0.0426533
44,-0.00403,0.0299239,-0.0426533
45,-0.00402,0.0156404,-0.0426533
46,-0.00401,-0.00181707,-0.0426533
47,-0.004,-0.0208616,-0.0426533
48,-0.00399,-0.035145,-0.0426533
49,-0.00398,-0.0510155,-0.0426533
50,-0.00397,-0.068473,-0.0426533
